,Signal
2016-10-14 11:13:14.000,0.0
2016-10-14 11:13:14.250,0.0
2016-10-14 11:13:14.500,0.0
2016-10-14 11:13:14.750,0.0
2016-10-14 11:13:15.000,0.0
2016-10-14 11:13:15.250,0.0
2016-10-14 11:13:15.500,0.0
2016-10-14 11:13:15.750,0.0
2016-10-14 11:13:16.000,0.0
2016-10-14 11:13:16.250,0.0
2016-10-14 11:13:16.500,0.0
2016-10-14 11:13:16.750,0.0
2016-10-14 11:13:17.000,0.0
2016-10-14 11:13:17.250,0.0
2016-10-14 11:13:17.500,0.0
2016-10-14 11:13:17.750,0.0
2016-10-14 11:13:18.000,0.0
2016-10-14 11:13:18.250,0.0
2016-10-14 11:13:18.500,0.0
2016-10-14 11:13:18.750,0.0
2016-10-14 11:13:19.000,0.0
2016-10-14 11:13:19.250,0.0
2016-10-14 11:13:19.500,0.0
2016-10-14 11:13:19.750,0.0
2016-10-14 11:13:20.000,0.0
2016-10-14 11:13:20.250,0.0
2016-10-14 11:13:20.500,0.0
2016-10-14 11:13:20.750,0.0
2016-10-14 11:13:21.000,0.0
2016-10-14 11:13:21.250,0.0
2016-10-14 11:13:21.500,0.0
2016-10-14 11:13:21.750,0.0
2016-10-14 11:13:22.000,0.0
2016-10-14 11:13:22.250,0.0
2016-10-14 11:13:22.500,0.0
2016-10-14 11:13:22.750,0.0
2016-10-14 11:13:23.000,0.0
2016-10-14 11:13:23.250,0.0
2016-10-14 11:13:23.500,0.0
2016-10-14 11:13:23.750,0.0
2016-10-14 11:13:24.000,0.0
2016-10-14 11:13:24.250,0.0
2016-10-14 11:13:24.500,0.0
2016-10-14 11:13:24.750,0.0
2016-10-14 11:13:25.000,0.0
2016-10-14 11:13:25.250,0.0
2016-10-14 11:13:25.500,0.0
2016-10-14 11:13:25.750,0.0
2016-10-14 11:13:26.000,0.0
2016-10-14 11:13:26.250,0.0
2016-10-14 11:13:26.500,0.0
2016-10-14 11:13:26.750,0.0
2016-10-14 11:13:27.000,0.0
2016-10-14 11:13:27.250,0.0
2016-10-14 11:13:27.500,0.0
2016-10-14 11:13:27.750,0.0
2016-10-14 11:13:28.000,0.0
2016-10-14 11:13:28.250,0.0
2016-10-14 11:13:28.500,0.0
2016-10-14 11:13:28.750,0.0
2016-10-14 11:13:29.000,0.0
2016-10-14 11:13:29.250,0.0
2016-10-14 11:13:29.500,0.0
2016-10-14 11:13:29.750,0.0
2016-10-14 11:13:30.000,0.0
2016-10-14 11:13:30.250,0.0
2016-10-14 11:13:30.500,0.0
